project,files,size_gb,jpg,png,mov,mp4,hero_count,gallery_count
1004 Cardinal,86,1.15,72,0,13,1,1,8
1300 roxkliff,48,0.13,46,0,2,0,1,8
1930 bickers,143,2.52,117,3,23,0,1,8
3724 Bickers,25,0.06,25,0,0,0,1,8
7304 Bob Hanger,54,0.12,54,0,0,0,1,8
7308 bob hanger,70,0.30,67,0,3,0,1,8
802 mango,103,0.27,102,0,1,0,1,8
802 mango (1),124,0.32,123,0,1,0,1,8
806 mango,164,6.35,147,1,11,5,1,8
806 mango finales,41,0.01,41,0,0,0,1,8
Belt Line G.P.,17,0.00,17,0,0,0,1,8
bickers 2,36,0.57,0,36,0,0,1,8
brundette,90,1.50,70,0,19,1,1,8
brundette 2,2,0.00,2,0,0,0,1,1
Crossman Duplex,45,0.50,23,22,0,0,1,8
duplex,15,0.18,15,0,0,0,1,8
duplex 2,0,0.00,0,0,0,0,0,0
flora,101,0.27,92,0,9,0,1,8
gallagher,71,0.21,69,0,2,0,1,8
gallagher 2,125,1.34,109,0,16,0,1,8
garland,55,0.11,55,0,0,0,1,8
grand prairie,45,0.24,44,0,0,1,1,8
M&G,0,0.00,0,0,0,0,0,0
Meghan Lane,49,0.51,5,43,1,0,1,8
New,0,0.00,0,0,0,0,0,0
Peublo,32,0.04,26,0,6,0,1,8
PremiumHomeDesign,3,0.17,1,0,1,1,1,0
royal lane,14,0.04,14,0,0,0,1,8
Standifer,37,0.71,0,37,0,0,1,8
