project,type,rank,path,width,height,score
1004 Cardinal,hero,1,"1004 Cardinal/Photo Mar 08 2024, 11 59 05 AM (30).jpg",6000,4000,252.50
1004 Cardinal,gallery,1,"1004 Cardinal/Photo Mar 08 2024, 11 59 05 AM (26).jpg",6000,4000,252.50
1004 Cardinal,gallery,2,"1004 Cardinal/Photo Mar 08 2024, 11 59 05 AM (4).jpg",6000,4000,252.50
1004 Cardinal,gallery,3,"1004 Cardinal/Photo Mar 08 2024, 11 59 05 AM (10).jpg",6000,4000,252.50
1004 Cardinal,gallery,4,"1004 Cardinal/Photo Mar 08 2024, 11 59 05 AM (8).jpg",6000,4000,252.50
1004 Cardinal,gallery,5,"1004 Cardinal/Photo Mar 08 2024, 11 59 05 AM (11).jpg",6000,4000,252.50
1004 Cardinal,gallery,6,"1004 Cardinal/Photo Mar 08 2024, 11 59 05 AM (9).jpg",6000,4000,252.50
1004 Cardinal,gallery,7,"1004 Cardinal/Photo Mar 08 2024, 11 59 05 AM (5).jpg",6000,4000,252.50
1004 Cardinal,gallery,8,"1004 Cardinal/Photo Mar 08 2024, 11 59 05 AM (27).jpg",6000,4000,252.50
1300 roxkliff,hero,1,"1300 roxkliff/Photo Mar 23 2021, 3 30 33 PM.jpg",4032,3024,135.93
1300 roxkliff,gallery,1,"1300 roxkliff/Photo Mar 23 2021, 3 29 12 PM.jpg",4032,3024,135.93
1300 roxkliff,gallery,2,"1300 roxkliff/Photo Mar 23 2021, 3 29 36 PM.jpg",4032,3024,135.93
1300 roxkliff,gallery,3,"1300 roxkliff/Photo Mar 23 2021, 3 29 38 PM.jpg",4032,3024,135.93
1300 roxkliff,gallery,4,"1300 roxkliff/Photo Mar 04 2022, 5 21 11 AM.jpg",3000,2000,74.00
1300 roxkliff,gallery,5,"1300 roxkliff/Photo Mar 04 2022, 5 25 59 AM.jpg",3000,2000,74.00
1300 roxkliff,gallery,6,"1300 roxkliff/Photo Mar 04 2022, 5 22 08 AM.jpg",3000,2000,74.00
1300 roxkliff,gallery,7,"1300 roxkliff/Photo Mar 04 2022, 7 31 21 AM.jpg",3000,2000,74.00
1300 roxkliff,gallery,8,"1300 roxkliff/Photo Mar 04 2022, 5 09 12 AM.jpg",3000,2000,74.00
1930 bickers,hero,1,"1930 bickers/Photo Feb 02 2024, 2 12 35 PM.jpg",4032,3024,135.93
1930 bickers,gallery,1,"1930 bickers/Photo Feb 02 2024, 1 37 19 PM.jpg",4032,3024,135.93
1930 bickers,gallery,2,"1930 bickers/Photo Feb 02 2024, 1 56 14 PM.jpg",4032,3024,135.93
1930 bickers,gallery,3,"1930 bickers/Photo Feb 02 2024, 2 16 12 PM.jpg",4032,3024,135.93
1930 bickers,gallery,4,"1930 bickers/Photo Sep 06 2023, 12 09 01 PM.jpg",4032,3024,135.93
1930 bickers,gallery,5,"1930 bickers/Photo Feb 05 2024, 12 13 26 PM.jpg",4032,3024,135.93
1930 bickers,gallery,6,"1930 bickers/Photo Feb 02 2024, 1 37 40 PM.jpg",4032,3024,135.93
1930 bickers,gallery,7,"1930 bickers/Photo Feb 05 2024, 12 14 41 PM.jpg",4032,3024,135.93
1930 bickers,gallery,8,"1930 bickers/Photo Sep 06 2023, 12 13 14 PM.jpg",4032,3024,135.93
3724 Bickers,hero,1,"3724 Bickers/Photo Feb 17 2022, 12 23 34 PM.jpg",3000,2000,74.00
3724 Bickers,gallery,1,"3724 Bickers/Photo Feb 17 2022, 12 12 11 PM.jpg",3000,2000,74.00
3724 Bickers,gallery,2,"3724 Bickers/Photo Feb 17 2022, 12 15 07 PM.jpg",3000,2000,74.00
